uid,namedLocation,domainID,siteID,plotID,plotType,pointID,startDate,eventID,pointCountMinute,targetTaxaPresent,taxonID,scientificName,taxonRank,vernacularName,observerDistance,detectionMethod,visualConfirmation,sexOrAge,clusterSize,clusterCode,identifiedBy
"17d51df5-baad-4e62-a5a6-d78259bb9ec6","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A2","2021-06-04T10:37Z","UKFS_025.A2.2021-06-04",5,"Y","YBCU","Coccyzus americanus","species","Yellow-billed Cuckoo",329,"singing","No","Unknown",1,,"ANDEB"
"d961ec10-1b37-40f9-893f-88e0ee67c882","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A2","2021-06-04T10:37Z","UKFS_025.A2.2021-06-04",1,"Y","AMCR","Corvus brachyrhynchos","species","American Crow",418,"calling","No","Unknown",1,,"ANDEB"
"6690df14-619c-4171-a436-a3b0fcbf4bfe","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A2","2021-06-04T10:37Z","UKFS_025.A2.2021-06-04",1,"Y","DICK","Spiza americana","species","Dickcissel",140,"singing","No","Unknown",1,,"ANDEB"
"a3a78cf0-a45d-4a4a-8a7c-cc35921bf1a5","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A2","2021-06-04T10:37Z","UKFS_025.A2.2021-06-04",4,"Y","BEVI","Vireo bellii","species","Bell's Vireo",71,"singing","No","Unknown",1,,"ANDEB"
"69a759a5-4220-46a6-a59b-c52e40509b48","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A2","2021-06-04T10:37Z","UKFS_025.A2.2021-06-04",6,"Y","BADO","Strix varia","species","Barred Owl",332,"singing","No","Unknown",1,,"ANDEB"
"4f6b8526-9c0f-4f5e-b191-d96fbe505ad0","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A2","2021-06-04T10:37Z","UKFS_025.A2.2021-06-04",1,"Y","EAME","Sturnella magna","species","Eastern Meadowlark",258,"singing","No","Unknown",1,,"ANDEB"
"8fc2d034-ca0e-4b63-895d-54eb1c770b10","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A2","2021-06-04T10:37Z","UKFS_025.A2.2021-06-04",1,"Y","DICK","Spiza americana","species","Dickcissel",92,"singing","No","Unknown",1,,"ANDEB"
"33d53e51-5116-4d38-b1cd-4091a92fa686","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A2","2021-06-04T10:37Z","UKFS_025.A2.2021-06-04",3,"Y","BHCO","Molothrus ater","species","Brown-headed Cowbird",10,"visual","Yes","Female",1,"A","ANDEB"
"5a58e19b-1c0f-45d2-beca-21e48f1adab0","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A2","2021-06-04T10:37Z","UKFS_025.A2.2021-06-04",2,"Y","BADO","Strix varia","species","Barred Owl",414,"singing","No","Unknown",1,,"ANDEB"
"983226e9-ce1b-435c-a412-0d6984d75efd","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A2","2021-06-04T10:37Z","UKFS_025.A2.2021-06-04",1,"Y","EAME","Sturnella magna","species","Eastern Meadowlark",48,"singing","No","Unknown",1,,"ANDEB"
"1f5bf1c7-9150-43da-9adf-6d64072d916b","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A2","2021-06-04T10:37Z","UKFS_025.A2.2021-06-04",5,"Y","NOCA","Cardinalis cardinalis","species","Northern Cardinal",172,"singing","No","Unknown",1,,"ANDEB"
"0df97048-03c7-4018-a2eb-191320529bca","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A2","2021-06-04T10:37Z","UKFS_025.A2.2021-06-04",2,"Y","TUTI","Baeolophus bicolor","species","Tufted Titmouse",214,"singing","No","Unknown",1,,"ANDEB"
"f8c2cacc-94cc-4bab-99b1-48556ff73fd7","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A2","2021-06-04T10:37Z","UKFS_025.A2.2021-06-04",1,"Y","DICK","Spiza americana","species","Dickcissel",52,"singing","No","Unknown",1,,"ANDEB"
"04b02b10-203c-467e-ba3b-720dc0e3a169","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A2","2021-06-04T10:37Z","UKFS_025.A2.2021-06-04",3,"Y","BHCO","Molothrus ater","species","Brown-headed Cowbird",10,"calling","Yes","Male",4,"A","ANDEB"
"7790905c-f8a4-4b31-ad57-c05eb41eca4e","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A2","2021-06-04T10:37Z","UKFS_025.A2.2021-06-04",1,"Y","AMCR","Corvus brachyrhynchos","species","American Crow",362,"calling","No","Unknown",1,,"ANDEB"
"05381eb6-4d4f-4127-a481-3e86817aa082","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A2","2021-06-04T10:37Z","UKFS_025.A2.2021-06-04",1,"Y","EAKI","Tyrannus tyrannus","species","Eastern Kingbird",310,"calling","No","Unknown",1,,"ANDEB"
"5a6e7436-d8be-4ad8-a485-3c06f2ef2b48","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A2","2021-06-04T10:37Z","UKFS_025.A2.2021-06-04",1,"Y","GRSP","Ammodramus savannarum","species","Grasshopper Sparrow",26,"singing","No","Unknown",1,,"ANDEB"
"4089520f-e207-404a-b89a-a916e10b7f0a","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A1","2021-06-04T10:55Z","UKFS_025.A1.2021-06-04",1,"Y","EAME","Sturnella magna","species","Eastern Meadowlark",260,"singing","No","Unknown",1,,"ANDEB"
"db99576b-858e-43b8-a68c-eb55916c8401","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A1","2021-06-04T10:55Z","UKFS_025.A1.2021-06-04",6,"Y","EAWP","Contopus virens","species","Eastern Wood-Pewee",91,"singing","No","Unknown",1,,"ANDEB"
"ac3e0380-59dc-4934-b893-19f96597edc2","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A1","2021-06-04T10:55Z","UKFS_025.A1.2021-06-04",2,"Y","BCCH","Poecile atricapillus","species","Black-capped Chickadee",89,"calling","No","Unknown",1,,"ANDEB"
"32634c5f-52df-45e3-b63e-ee12a190bd07","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A1","2021-06-04T10:55Z","UKFS_025.A1.2021-06-04",2,"Y","MODO","Zenaida macroura","species","Mourning Dove",27,"singing","No","Unknown",1,,"ANDEB"
"33478c77-10f7-46a5-bf21-4ead1e44c139","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A1","2021-06-04T10:55Z","UKFS_025.A1.2021-06-04",4,"Y","BCCH","Poecile atricapillus","species","Black-capped Chickadee",48,"calling","No","Unknown",1,,"ANDEB"
"e0f36a01-7fd0-416e-b0c3-526609a6da17","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A1","2021-06-04T10:55Z","UKFS_025.A1.2021-06-04",1,"Y","BEVI","Vireo bellii","species","Bell's Vireo",93,"singing","No","Unknown",1,,"ANDEB"
"392075dd-6a95-4dcb-b82c-8847c5168ea6","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A1","2021-06-04T10:55Z","UKFS_025.A1.2021-06-04",1,"Y","DICK","Spiza americana","species","Dickcissel",115,"singing","No","Unknown",1,,"ANDEB"
"2d519082-2a3c-4978-a008-12d609e005ee","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A1","2021-06-04T10:55Z","UKFS_025.A1.2021-06-04",2,"Y","YBCU","Coccyzus americanus","species","Yellow-billed Cuckoo",77,"singing","No","Unknown",1,,"ANDEB"
"2477d86c-6c66-4aa8-8626-a5aab450ccb7","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A1","2021-06-04T10:55Z","UKFS_025.A1.2021-06-04",1,"Y","INBU","Passerina cyanea","species","Indigo Bunting",31,"singing","Yes","Unknown",1,,"ANDEB"
"426cf15b-b98c-42c1-8a9c-1db7191fc059","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A1","2021-06-04T10:55Z","UKFS_025.A1.2021-06-04",3,"Y","AMCR","Corvus brachyrhynchos","species","American Crow",321,"calling","No","Unknown",1,,"ANDEB"
"93be3d1d-caab-4d13-a54c-be40d6dfe969","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A1","2021-06-04T10:55Z","UKFS_025.A1.2021-06-04",2,"Y","NOCA","Cardinalis cardinalis","species","Northern Cardinal",92,"singing","No","Unknown",1,,"ANDEB"
"4670fcb7-b796-42fa-8608-987fff65df81","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A1","2021-06-04T10:55Z","UKFS_025.A1.2021-06-04",6,"Y","RWBL","Agelaius phoeniceus","species","Red-winged Blackbird",97,"calling","Yes","Unknown",1,,"ANDEB"
"e7300ec2-c176-4e4e-9367-529ca597343a","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A1","2021-06-04T10:55Z","UKFS_025.A1.2021-06-04",1,"Y","NOCA","Cardinalis cardinalis","species","Northern Cardinal",58,"singing","No","Unknown",1,,"ANDEB"
"5e852c9e-8f42-4116-8774-5c212d7315bb","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A1","2021-06-04T10:55Z","UKFS_025.A1.2021-06-04",1,"Y","DICK","Spiza americana","species","Dickcissel",266,"singing","No","Unknown",1,,"ANDEB"
"3e30d27e-9797-4137-97ed-4d9293ac89e6","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A1","2021-06-04T10:55Z","UKFS_025.A1.2021-06-04",1,"Y","AMCR","Corvus brachyrhynchos","species","American Crow",313,"calling","No","Unknown",1,,"ANDEB"
"029c3c75-6ee0-4d64-b88c-7fd61972c2f6","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A1","2021-06-04T10:55Z","UKFS_025.A1.2021-06-04",5,"Y","GRSP","Ammodramus savannarum","species","Grasshopper Sparrow",30,"singing","No","Unknown",1,,"ANDEB"
"1b6dc552-ed9d-4d3c-b79f-891d5b741129","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","A1","2021-06-04T10:55Z","UKFS_025.A1.2021-06-04",1,"Y","EAME","Sturnella magna","species","Eastern Meadowlark",121,"singing","No","Unknown",1,,"ANDEB"
"ac09ba06-99fa-4de2-b2d3-19d8a58c84e0","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B1","2021-06-04T11:11Z","UKFS_025.B1.2021-06-04",2,"Y","EAME","Sturnella magna","species","Eastern Meadowlark",210,"singing","No","Unknown",1,,"ANDEB"
"7fa09879-0dcb-4818-ad1e-6e8ad06886f3","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B1","2021-06-04T11:11Z","UKFS_025.B1.2021-06-04",5,"Y","WITU","Meleagris gallopavo","species","Wild Turkey",360,"calling","No","Unknown",1,,"ANDEB"
"fef0fccf-1cd1-45f2-aa33-37cbe0e52406","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B1","2021-06-04T11:11Z","UKFS_025.B1.2021-06-04",2,"Y","BLJA","Cyanocitta cristata","species","Blue Jay",220,"calling","No","Unknown",1,,"ANDEB"
"31303e41-390a-4d6e-b6d4-9df46d376d68","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B1","2021-06-04T11:11Z","UKFS_025.B1.2021-06-04",2,"Y","GRSP","Ammodramus savannarum","species","Grasshopper Sparrow",112,"singing","No","Unknown",1,,"ANDEB"
"be8c6205-32ab-48b0-a5a3-c50dfeaf3566","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B1","2021-06-04T11:11Z","UKFS_025.B1.2021-06-04",3,"Y","MODO","Zenaida macroura","species","Mourning Dove",155,"singing","No","Unknown",1,,"ANDEB"
"eeca611d-c57b-4b5d-9b88-191921074f8d","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B1","2021-06-04T11:11Z","UKFS_025.B1.2021-06-04",6,"Y","DICK","Spiza americana","species","Dickcissel",105,"calling","No","Unknown",1,,"ANDEB"
"fd0e6889-1cf4-4c24-97bc-127d465da6c6","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B1","2021-06-04T11:11Z","UKFS_025.B1.2021-06-04",1,"Y","EAME","Sturnella magna","species","Eastern Meadowlark",155,"singing","No","Unknown",1,,"ANDEB"
"f49cad32-1097-407a-8044-4bb85761ee40","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B1","2021-06-04T11:11Z","UKFS_025.B1.2021-06-04",4,"Y","NOCA","Cardinalis cardinalis","species","Northern Cardinal",230,"singing","No","Unknown",1,,"ANDEB"
"24f79b0a-bc47-481d-bde3-bdf1598e2412","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B1","2021-06-04T11:11Z","UKFS_025.B1.2021-06-04",1,"Y","FISP","Spizella pusilla","species","Field Sparrow",256,"singing","No","Unknown",1,,"ANDEB"
"6d463d73-4468-4710-be7e-1de51ea5e616","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B1","2021-06-04T11:11Z","UKFS_025.B1.2021-06-04",6,"Y","INBU","Passerina cyanea","species","Indigo Bunting",243,"singing","No","Unknown",1,,"ANDEB"
"9735cbf9-4931-477c-b5fc-7fcd0cbebd3b","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B1","2021-06-04T11:11Z","UKFS_025.B1.2021-06-04",5,"Y","AMCR","Corvus brachyrhynchos","species","American Crow",276,"calling","No","Unknown",1,,"ANDEB"
"86824af0-bdee-4675-a1c8-beed28dea219","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B1","2021-06-04T11:11Z","UKFS_025.B1.2021-06-04",1,"Y","FISP","Spizella pusilla","species","Field Sparrow",155,"singing","No","Unknown",1,,"ANDEB"
"f1a8478b-3b67-4c81-8004-cde70e5e2376","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B1","2021-06-04T11:11Z","UKFS_025.B1.2021-06-04",1,"Y","EAME","Sturnella magna","species","Eastern Meadowlark",334,"singing","No","Unknown",1,,"ANDEB"
"3dd3112d-e720-4308-9ce6-c653f79ee394","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B1","2021-06-04T11:11Z","UKFS_025.B1.2021-06-04",2,"Y","DICK","Spiza americana","species","Dickcissel",139,"calling","No","Unknown",1,,"ANDEB"
"1fbc2d6e-0f6f-4492-b9a0-bc41c1e5da55","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B1","2021-06-04T11:11Z","UKFS_025.B1.2021-06-04",6,"Y","NOCA","Cardinalis cardinalis","species","Northern Cardinal",266,"singing","No","Unknown",1,,"ANDEB"
"872fc70d-f595-4403-a932-d9fc8c84432b","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B1","2021-06-04T11:11Z","UKFS_025.B1.2021-06-04",6,"Y","CANG","Branta canadensis","species","Canada Goose",449,"calling","No","Unknown",1,,"ANDEB"
"3e822910-9da8-4b80-9b18-11c5819dc825","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B1","2021-06-04T11:11Z","UKFS_025.B1.2021-06-04",3,"Y","EAME","Sturnella magna","species","Eastern Meadowlark",81,"calling","No","Unknown",1,,"ANDEB"
"4e2705e8-5377-430f-9772-510baeccf7e2","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B1","2021-06-04T11:11Z","UKFS_025.B1.2021-06-04",1,"Y","RBWO","Melanerpes carolinus","species","Red-bellied Woodpecker",345,"calling","No","Unknown",1,,"ANDEB"
"38204d75-7e85-4619-8480-c9725d6ffa5e","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B1","2021-06-04T11:11Z","UKFS_025.B1.2021-06-04",5,"Y","NOCA","Cardinalis cardinalis","species","Northern Cardinal",311,"singing","No","Unknown",1,,"ANDEB"
"4638179f-3483-4176-8c5f-85ddb98d1bbd","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B1","2021-06-04T11:11Z","UKFS_025.B1.2021-06-04",1,"Y","RBWO","Melanerpes carolinus","species","Red-bellied Woodpecker",391,"calling","No","Unknown",1,,"ANDEB"
"c757adbf-f7a8-49f8-9a2e-4a3cc4ffc2e9","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B1","2021-06-04T11:11Z","UKFS_025.B1.2021-06-04",4,"Y","YBCU","Coccyzus americanus","species","Yellow-billed Cuckoo",242,"singing","No","Unknown",1,,"ANDEB"
"ed610888-cf0d-4626-926f-bb443af7952f","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B1","2021-06-04T11:11Z","UKFS_025.B1.2021-06-04",6,"Y","BADO","Strix varia","species","Barred Owl",287,"singing","No","Unknown",1,,"ANDEB"
"b76a1490-e891-45b5-8a35-1a063508c86e","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","B1","2021-06-04T11:11Z","UKFS_025.B1.2021-06-04",2,"Y","GRSP","Ammodramus savannarum","species","Grasshopper Sparrow",42,"singing","No","Unknown",1,,"ANDEB"
"1d80818c-e312-422b-9f2e-e68f0bf8527a","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C1","2021-06-04T11:28Z","UKFS_025.C1.2021-06-04",6,"Y","NOCA","Cardinalis cardinalis","species","Northern Cardinal",336,"singing","No","Unknown",1,,"ANDEB"
"b7fc6a92-4156-4b8f-87c8-6f3d0cbe7f70","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C1","2021-06-04T11:28Z","UKFS_025.C1.2021-06-04",5,"Y","MODO","Zenaida macroura","species","Mourning Dove",55,"singing","No","Unknown",1,,"ANDEB"
"8865a451-9bc8-414c-9c6b-2c1df5eb15cc","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C1","2021-06-04T11:28Z","UKFS_025.C1.2021-06-04",2,"Y","INBU","Passerina cyanea","species","Indigo Bunting",321,"singing","No","Unknown",1,,"ANDEB"
"2000fe99-2136-481c-ab61-47ec535ebe36","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C1","2021-06-04T11:28Z","UKFS_025.C1.2021-06-04",3,"Y","BEVI","Vireo bellii","species","Bell's Vireo",146,"singing","No","Unknown",1,,"ANDEB"
"e82adc33-38a5-4105-a922-42f175ad308e","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C1","2021-06-04T11:28Z","UKFS_025.C1.2021-06-04",4,"Y","YBCU","Coccyzus americanus","species","Yellow-billed Cuckoo",110,"singing","No","Unknown",1,,"ANDEB"
"4c379cce-056d-4485-b00d-4109c91f0e7c","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C1","2021-06-04T11:28Z","UKFS_025.C1.2021-06-04",1,"Y","TUTI","Baeolophus bicolor","species","Tufted Titmouse",358,"singing","No","Unknown",1,,"ANDEB"
"287dcd77-7563-4c1e-9fa0-fe4b6ebad0ad","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C1","2021-06-04T11:28Z","UKFS_025.C1.2021-06-04",1,"Y","PISI","Spinus pinus","species","Pine Siskin",134,"calling","No","Unknown",1,,"ANDEB"
"3556fcce-ce73-4aee-8d78-3e530d26fe11","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C1","2021-06-04T11:28Z","UKFS_025.C1.2021-06-04",1,"Y","EAME","Sturnella magna","species","Eastern Meadowlark",195,"singing","No","Unknown",1,,"ANDEB"
"b8cfe1c8-fedc-4a04-970b-868eada79048","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C1","2021-06-04T11:28Z","UKFS_025.C1.2021-06-04",1,"Y","EAME","Sturnella magna","species","Eastern Meadowlark",57,"singing","No","Unknown",1,,"ANDEB"
"64df195c-ff92-4ee3-a828-f960dbdd379a","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C1","2021-06-04T11:28Z","UKFS_025.C1.2021-06-04",2,"Y","EAME","Sturnella magna","species","Eastern Meadowlark",164,"singing","Yes","Unknown",1,,"ANDEB"
"bfc63430-3d6b-401f-97ea-f08f64e9b1cb","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C1","2021-06-04T11:28Z","UKFS_025.C1.2021-06-04",1,"Y","NOCA","Cardinalis cardinalis","species","Northern Cardinal",95,"singing","No","Unknown",1,,"ANDEB"
"63be051f-6074-4e07-9775-afcd13532ab3","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C1","2021-06-04T11:28Z","UKFS_025.C1.2021-06-04",5,"Y","INBU","Passerina cyanea","species","Indigo Bunting",30,"calling","No","Unknown",1,,"ANDEB"
"4792ae47-d906-479f-85b7-ca0d1276f831","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C1","2021-06-04T11:28Z","UKFS_025.C1.2021-06-04",2,"Y","BGGN","Polioptila caerulea","species","Blue-gray Gnatcatcher",66,"calling","No","Unknown",1,,"ANDEB"
"d709ca4d-51a6-4259-aa42-768b2e37b56d","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C1","2021-06-04T11:28Z","UKFS_025.C1.2021-06-04",1,"Y","NOCA","Cardinalis cardinalis","species","Northern Cardinal",36,"singing","No","Unknown",1,,"ANDEB"
"2a304105-cb38-4740-9f12-7a2015e0babf","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C1","2021-06-04T11:28Z","UKFS_025.C1.2021-06-04",1,"Y","FISP","Spizella pusilla","species","Field Sparrow",48,"singing","No","Unknown",1,,"ANDEB"
"b0d0c432-1723-4a65-9aef-d82c116c5a3f","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C1","2021-06-04T11:28Z","UKFS_025.C1.2021-06-04",1,"Y","WITU","Meleagris gallopavo","species","Wild Turkey",290,"calling","No","Unknown",1,,"ANDEB"
"ac994d42-67eb-4d2c-9cfb-095375d34da2","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C2","2021-06-04T11:44Z","UKFS_025.C2.2021-06-04",2,"Y","NOCA","Cardinalis cardinalis","species","Northern Cardinal",109,"singing","No","Unknown",1,,"ANDEB"
"4802163e-5b85-4871-a21e-10c511d3f7bf","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C2","2021-06-04T11:44Z","UKFS_025.C2.2021-06-04",1,"Y","BEVI","Vireo bellii","species","Bell's Vireo",77,"singing","No","Unknown",1,,"ANDEB"
"caa6ade1-fca3-4218-badb-634370a8854f","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C2","2021-06-04T11:44Z","UKFS_025.C2.2021-06-04",1,"Y","INBU","Passerina cyanea","species","Indigo Bunting",120,"singing","No","Unknown",1,,"ANDEB"
"4f39e15a-df02-4e7b-99af-99fb8a9670eb","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C2","2021-06-04T11:44Z","UKFS_025.C2.2021-06-04",3,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",116,"singing","No","Unknown",1,,"ANDEB"
"d86730e5-ebde-4c9f-91b7-8d1e1c8111d6","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C2","2021-06-04T11:44Z","UKFS_025.C2.2021-06-04",4,"Y","BGGN","Polioptila caerulea","species","Blue-gray Gnatcatcher",35,"calling","No","Unknown",1,,"ANDEB"
"5bc74be6-5aac-48a6-b156-f6bb39709ed3","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C2","2021-06-04T11:44Z","UKFS_025.C2.2021-06-04",5,"Y","INBU","Passerina cyanea","species","Indigo Bunting",27,"calling","No","Unknown",1,,"ANDEB"
"2bd4012f-714a-48f6-97a3-6b04099ddc3d","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C2","2021-06-04T11:44Z","UKFS_025.C2.2021-06-04",1,"Y","MODO","Zenaida macroura","species","Mourning Dove",113,"singing","No","Unknown",1,,"ANDEB"
"65b6fdf7-6be9-4588-9f7b-65abe7c83724","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C2","2021-06-04T11:44Z","UKFS_025.C2.2021-06-04",1,"Y","TUTI","Baeolophus bicolor","species","Tufted Titmouse",87,"singing","No","Unknown",1,,"ANDEB"
"8ab2ddd0-71ad-40db-8056-ad714fed2c7e","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C2","2021-06-04T11:44Z","UKFS_025.C2.2021-06-04",6,"Y","YBCU","Coccyzus americanus","species","Yellow-billed Cuckoo",50,"singing","No","Unknown",1,,"ANDEB"
"5f52abdf-b1de-46a6-9616-cb166bf93100","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C2","2021-06-04T11:44Z","UKFS_025.C2.2021-06-04",1,"Y","INBU","Passerina cyanea","species","Indigo Bunting",82,"singing","No","Unknown",1,,"ANDEB"
"e3205e7d-ab0c-4821-8032-f3cf69ff1e61","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C2","2021-06-04T11:44Z","UKFS_025.C2.2021-06-04",1,"Y","CANG","Branta canadensis","species","Canada Goose",313,"calling","No","Unknown",1,,"ANDEB"
"dc5f3016-2673-463d-88c1-226ad65c646a","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C2","2021-06-04T11:44Z","UKFS_025.C2.2021-06-04",2,"Y","NOCA","Cardinalis cardinalis","species","Northern Cardinal",26,"singing","No","Unknown",1,,"ANDEB"
"6e0eecf0-2d29-49b7-a54b-95356ae6b390","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C2","2021-06-04T11:44Z","UKFS_025.C2.2021-06-04",1,"Y","AMCR","Corvus brachyrhynchos","species","American Crow",312,"singing","No","Unknown",1,,"ANDEB"
"19849fe2-d963-4310-98a7-ccce96ae7ef2","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C2","2021-06-04T11:44Z","UKFS_025.C2.2021-06-04",2,"Y","EAME","Sturnella magna","species","Eastern Meadowlark",209,"singing","No","Unknown",1,,"ANDEB"
"16f4b11b-83fb-46e7-a8c0-069736c8571e","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C3","2021-06-04T12:01Z","UKFS_025.C3.2021-06-04",1,"Y","BLJA","Cyanocitta cristata","species","Blue Jay",27,"calling","Yes","Unknown",1,,"ANDEB"
"ed6dfb4d-ef3a-4c21-b3d5-62476f66788c","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C3","2021-06-04T12:01Z","UKFS_025.C3.2021-06-04",1,"Y","RBWO","Melanerpes carolinus","species","Red-bellied Woodpecker",128,"calling","No","Unknown",1,,"ANDEB"
"b57314d9-d102-46a0-ac53-1e6a3635f6e2","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C3","2021-06-04T12:01Z","UKFS_025.C3.2021-06-04",4,"Y","TUTI","Baeolophus bicolor","species","Tufted Titmouse",79,"singing","No","Unknown",1,,"ANDEB"
"8ebcce48-6bbf-4fec-b899-5fb6e116402b","UKFS_025.birdGrid.brd","D06","UKFS","UKFS_025","distributed","C3","2021-06-04T12:01Z","UKFS_025.C3.2021-06-04",1,"Y","BLJA","Cyanocitta cristata","species","Blue Jay",30,"calling","Yes","Unknown",1,,"ANDEB"
